LAT VC,Venture Fund,"Pre-SeedSeed,Series A",www.lat.vc,"Artificial Intelligence, Machine Learning, AI, ML, FinTech, Cryptocurrency, Blockchain, Healthcare, E-Commerce, EdTech, SaaS, Telecommunications, TMT"
Lateral Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.latcap.co,"Software, Mobile, SaaS, Consumer, FinTech"
Latitud,Venture Fund,Seed,https://latitud.com/,"Entertainment, Media, Cryptocurrency, Blockchain, Consumer, Fashion, Information Technology, Marketplace, Apps"
Launchpad Capital,Venture Fund,"SeedSeries A,Series B",http://www.launchpad.vc/,"Fin, Tech"
Launchpad Digital Health,Venture Fund,"Pre-SeedSeed,Series A",www.launchpdh.com,"Software, Mobile, SaaS, Consumer, FinTech"
Lavni Ventures,Venture Fund,"SeedSeries A,Series B",https://lavniventures.com/,"FinTech, ClimateTech, CleanTech, EdTech, Healthcare"
LD Capital,Venture Fund,Pre-SeedSeed,http://ldcap.com/,"Cryptocurrency, Blockchain, Entertainment, Media, Sports, E-Sports, Gaming, Hardware, Artificial Intelligence, Machine Learning, AI, ML, Software"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
LDV Capital,Venture Fund,Seed,http://www.ldv.co,"Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, Virtual Reality, AR/VR, Big Data, Analytics, Ridesharing, CloudTech, Cybersecurity, Healthcare, E-Commerce, E-Sports, Gaming, IoT, Internet of Things, Mobile, Micro-Mobility, Robotics, SaaS, SpaceTech, Telecommunications, TMT, Wearables, Quantified Self"
Lead Edge Capital,Venture Fund,"Series BSeries C,Series D",www.leadedge.com,"CloudTech, Developer Tools, Information Technology, SaaS, Software, Customer Service, Cybersecurity, Enterprise, Marketing, MarTech, Privacy, Risk Management, Construction, Tech, FinTech"
Leaders Fund,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://leaders.vc/,"Advertising, AdTech, Big Data, Analytics, B2C, CRM, Marketing, MarTech, RetailTech, SaaS, Software"
LEAP Global Partners,Venture Fund,"Pre-SeedSeed,Series A",www.leapglobalpartners.com,"Artificial Intelligence, Machine Learning, AI, ML, E-Commerce, FinTech, Marketing, MarTech, SaaS, Telecommunications, TMT"
Learn Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.learncapital.com,"EdTech, FinTech, Meeting Software, E-Commerce, HR Tech, Mobile, Big Data, Analytics, SaaS, Enterprise"
LedgerPrime,Venture Fund,"SeedSeries A,Series B","https://www.ledgerprime.co
m/","Marketplace, Cryptocurrency, Blockchain, FinTech, Enterprise"
Left Lane Capital,Venture Fund,"Pre-SeedSeed,Series A",www.leftlanecap.com,"FinTech, Entertainment, Media, Consumer, E-Commerce, Food and Beverage, PetTech, SaaS, Marketing, MarTech, Cryptocurrency, Blockchain, Healthcare, PropTech, Logistics, Supply Chain, Tech, Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, Computer, Software"
Legendary Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.legendary.vc,"Artificial Intelligence, Machine Learning, AI, ML, Consumer, Hardware, Software"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Lemnos VC,Venture Fund,"Pre-SeedSeed,Series A",www.lemnos.vc,"Information Technology, Robotics, Software"
Lerer Hippeau,Venture Fund,"SeedSeries A,Series CSeries D,Series B",www.lererhippeau.com,"Consumer, Entertainment, Media, E-Commerce, Software, Enterprise"
Level Equity Management,Venture Fund,"SeedSeries A,Series BSeries C",http://www.levelequity.com,"Sales, Software, FinTech, InsurTech, Enterprise, Healthcare, Information Technology, SaaS, Developer Tools, Risk Management, Hospitality, Marketplace, RestaurantTech, RetailTech, Food and Beverage, HR Tech, ClimateTech, CleanTech, Health & Wellness, CloudTech, Consumer, Internet"
Level One Fund,Venture Fund,"Series ASeries B,Series C","https://www.levelonefund.co
m","FinTech, FoodTech, Consumer, BioTech, Artificial Intelligence, Machine Learning, AI, ML, SpaceTech"
Lever VC,Venture Fund,"Pre-SeedSeed,Series A",www.levervc.com,"Food, Beverage"
Lewis & Clark Ventures,Venture Fund,"Pre-SeedSeed,Series A","www.lewisandclarkventures.c
om","E-Commerce, Fashion, RetailTech, Wearables, Quantified Self, Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Healthcare, HR Tech, SaaS, Software"
Liberty City Ventures,Venture Fund,"SeedSeries A,Series B","http://libertycityventures.co
m","FinTech, Big Data, Analytics, Cryptocurrency, Blockchain, Cybersecurity, E-Commerce, IoT, Internet of Things, SaaS, Supply Chain, Tech, Virtual Reality, AR/VR"
Lifeforce Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.lifeforcecap.com,"BioTech, Healthcare, Health & Wellness"
Lifeline Ventures,Venture Fund,"SeedSeries A,Series B","http://www.lifelineventures.c
om","Artificial Intelligence, Machine Learning, AI, ML, BioTech, Healthcare"
LightShed Ventures,Venture Fund,"SeedSeries A,Series B","https://www.lightshedvc.com
/","CloudTech, Infrastructure, Software, Creator Economy, Entertainment, Media, EdTech, Elder Care, Information Technology, HR Tech"
Lightship Capital,Venture Fund,"SeedSeries A,Series B","https://www.lightship.capital
/","Beauty, Parenting, Consumer"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Lightspeed China Partners,Venture Fund,"SeedSeries A,Series B","http://www.lightspeedcp.co
m","BioTech, Healthcare, Information Technology, Entertainment, Media"
Lightspeed Venture Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.lsvp.com,"Advertising, AdTech, E-Commerce, Software, Creator Economy, Developer Tools, Information Technology, Big Data, Analytics, Enterprise, Productivity, FinTech, Network Security, Cybersecurity, SaaS, CloudTech, HR Tech, Artificial Intelligence, Machine Learning, AI, ML, InsurTech, Food and Beverage, Delivery, Customer Service, Consumer, Entertainment, Media, EdTech, Cryptocurrency, Blockchain, Healthcare, Health & Wellness, Hospitality, Marketplace, PropTech, Transportation, Logistics, Robotics, Mobile, Computer, BioTech, Supply Chain, Tech, Professional Services, Hardware, Telecommunications, TMT, E-Sports, Gaming, Fashion, Sports, Wearables, Quantified Self, Pharmaceuticals, IoT, Internet of Things, SpaceTech, Virtual Reality, AR/VR, Risk Management, Emerging Markets, Infrastructure, Quality Assurance, ClimateTech, CleanTech, RetailTech, Collaboration, Meeting Software, Marketing, MarTech, PaaS, B2B, Beauty, DeepTech, Sales, Life Science, Oil & Gas, Service Industry, RestaurantTech"
Lightstone Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.lightstonevc.com,"Software, Mobile, SaaS, Consumer, FinTech"
Link Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.linkventures.com,"FinTech, Healthcare, Health & Wellness, Community, Events, Fashion, Entertainment, Media, Professional Services, HR Tech, InsurTech"
Lionheart Ventures,Venture Fund,SeedSeries A,http://www.lionheart.vc,"AgTech, FarmTech, ClimateTech, CleanTech, FoodTech, Audio, Tech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
LionTree,Venture Fund,"Pre-SeedSeed,Series A",www.liontree.com,"Entertainment, Media, Sports, Virtual Reality, AR/VR, Travel, Community, Events, Fashion, Professional Services, HR Tech, Creator Economy, E-Commerce, RetailTech, CloudTech, Cybersecurity, Software, Cryptocurrency, Blockchain, FinTech, Information Technology"
Liquid 2 Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.liquid2.vc,"EdTech, Enterprise, SaaS, Artificial Intelligence, Machine Learning, AI, ML, Healthcare, Software, InsurTech, CRM, Supply Chain, Tech, Logistics, E-Commerce, Computer, Robotics, Developer Tools, IoT, Internet of Things, FinTech, Transportation, AgTech, FarmTech, Delivery, Network Security, Cybersecurity, HR Tech, Entertainment, Media, PaaS, Industrials, ClimateTech, CleanTech, Construction, Big Data, Analytics, Hardware, Information Technology, Elder Care, Productivity, Fashion, Health & Wellness, Energy, Oil & Gas, PropTech, Sales, Marketing, MarTech, Hospitality, Travel, E-Sports, Gaming, B2B"
Listen,Venture Fund,"SeedSeries A,Series B",https://www.listen.co,"Customer Service, E-Commerce, Consumer, SaaS, InsurTech, FinTech, Mobile, PropTech, FemTech, Big Data, Analytics, EdTech, HR Tech, RetailTech"
Litani Ventures,Venture Fund,SeedSeries A,https://www.litani.com/,"E-Commerce, FoodTech, Healthcare, Beauty, Food and Beverage, Logistics, Software"
LiveOak Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.liveoakvp.com,"CloudTech, Developer Tools, Enterprise, Software, B2B, Marketing, MarTech, SaaS, FinTech, Information, Technology, Artificial Intelligence, Machine Learning, AI, ML, EdTech, Healthcare, InsurTech, PropTech, E-Commerce, Consumer, Sales, Supply Chain, Tech, Customer Service, Food and Beverage, Hospitality, Restaurant"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
lobby capital,Venture Fund,Series A,https://www.lobby.vc/,"FinTech, Artificial Intelligence, Machine Learning, AI, ML, Mobile"
LocalGlobe,Venture Fund,SeedSeries A,http://www.localglobe.vc,"Cybersecurity, InsurTech, Consumer, E-Commerce, Food and Beverage, RetailTech, Healthcare, Information Technology, Software, Supply Chain, Tech, CloudTech, SaaS, PropTech, Robotics, Infrastructure, Creator Economy, FinTech, Mobile"
Logos Capital,Venture Fund,"Series CSeries D,Series B","https://www.logoscapital.co
m/","BioTech, Life Science, Healthcare"
Lombardstreet Ventures,Venture Fund,Pre-Seed,www.lombardstreet.io,"SpaceTech, AgTech, FarmTech, Logistics, Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Software, FinTech, PropTech, SaaS, Mobile, EdTech, ClimateTech, CleanTech, B2B, Marketing, MarTech, Cryptocurrency, Blockchain"
Long Journey Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.longjourney.vc,"Cryptocurrency, Blockchain, Fashion, Consumer, FinTech, ClimateTech, CleanTech, Transportation, CloudTech, Cybersecurity, Information Technology, SaaS, PropTech, Professional Services, Software, Creator Economy, Marketplace, RetailTech, Food and Beverage, Healthcare, Health & Wellness"
Long Ridge Equity Partners,Venture Fund,"Series BSeries C,Series D",https://long-ridge.com/,"FinTech, PoS, Point of Sale, RetailTech, Software"
Longevity Vision Fund,Venture Fund,"Pre-SeedSeed,Series A",www.lvf.vc,"Software, Mobile, SaaS, Consumer, FinTech"
LongHash Ventures,Venture Fund,"SeedSeries A,Series B","https://www.longhashventur
es.com","FinTech, Cryptocurrency, Blockchain, Information Technology, CloudTech, Big Data, Analytics"
Longitude Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.longitudecapital.com,"Healthcare, Software, HR Tech"
LongShot Capital,Venture Fund,SeedPre-Seed,https://longshotcap.com/,"Healthcare, E-Commerce, Software, ClimateTech, CleanTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Longworth Venture Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.longworth.com,"Hardware, Information Technology, Manufacturing"
Looking Glass Capital,Venture Fund,Seed,http://lookingglass.vc,"ClimateTech, CleanTech, HR Tech, Healthcare"
lool Ventures,Venture Fund,"SeedSeries A,Series B",http://www.lool.vc,"Consumer, Mobile, PropTech, Software, Creator Economy, Life Science"
LOUD Capital,Venture Fund,"Pre-SeedSeed,Series A",www.loud.vc,"Healthcare, Manufacturing, Supply Chain, Tech"
Loup Ventures,Venture Fund,"SeedSeries A,Series B",http://loupventures.com/,"Life Science, Software"
Lowercarbon Capital,Venture Fund,"Pre-SeedSeed,Series A","www.lowercarboncapital.co
m","Artificial Intelligence, Machine Learning, AI, ML, ClimateTech, CleanTech, Marketplace, AgTech, FarmTech, BioTech, Food and Beverage, Energy, Hardware, Manufacturing, Robotics, Transportation, FinTech, Information Technology, InsurTech, Healthcare, Health, Wellness"
Lowercase Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","https://lowercasecapital.com
/","B2B, Developer Tools, Information Technology, Mobile, Software"
Loyal VC,Venture Fund,"SeedSeries A,Series B",http://loyal.vc,"HR Tech, Marketplace, SaaS, Software, Cryptocurrency, Blockchain, Events"
LRVHealth,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.lrvhealth.com,"Healthcare, Software, HR Tech, Artificial Intelligence, Machine Learning, AI, ML, EdTech, Information Technology, BioTech, Consumer, Food and Beverage, Health & Wellness, Big Data, Analytics, Manufacturing, SaaS"
LSP BioVentures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.lspvc.com,"Software, Mobile, SaaS, Consumer, FinTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Ludlow Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.ludlowventures.com,"Food and Beverage, E-Commerce, Hospitality, PaaS, RestaurantTech, Entertainment, Media, Enterprise, Software, Delivery, Consumer, RetailTech, HR Tech, EdTech, FinTech, InsurTech, Virtual Reality, AR/VR, Developer Tools, Industrials, Manufacturing, SaaS, Artificial Intelligence, Machine Learning, AI, ML, Travel, Information Technology, Logistics, Robotics, Supply Chain, Tech, Fashion, Marketplace, Marketing, MarTech, Sales"
Luma Launch,Accelerator,"Pre-SeedSeed,Series A",www.luma.inc,"Software, Mobile, SaaS, Consumer, FinTech"
Lumia Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.lumiacapital.com,"Apps, Mobile"
Lumira Ventures,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.lumiraventures.c
om","BioTech, Healthcare, Software"
Lunch Partners,Venture Fund,"SeedSeries A,Series B","https://www.lunchpartners.c
o/","SpaceTech, Transportation"
"Luther King Capital
Management",Venture Fund,Series A,http://www.lkcm.com/,"Entertainment, Media, E-Sports, Gaming"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Lux Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.luxcapital.com,"BioTech, Healthcare, Life Science, Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Entertainment, Media, Developer Tools, CloudTech, Information Technology, PaaS, SaaS, Parenting, Professional Services, InsurTech, Health & Wellness, Construction, Tech, Software, FinTech, Robotics, SpaceTech, Manufacturing, Supply Chain, Telecommunications, TMT, IoT, Internet of Things, Legal Tech, E-Sports, Gaming, Hardware, Virtual Reality, AR/VR, Pharmaceuticals, Advanced Materials, Market Research, Transportation, Consumer, Food and Beverage, Cryptocurrency, Blockchain, Sports, PropTech, B2B, Productivity, Enterprise, Cybersecurity, DeepTech, Industrials, Wearables, Quantified Self, Emerging Markets, Logistics, Risk Management, Privacy, HR Tech, Hospitality, Computer, Nanotechnology, FoodTech, Mobile"
LVP,Venture Fund,"SeedSeries A,Series B",http://www.londonvp.com,"Big Data, Analytics, FinTech, E-Sports, Gaming, Software, Entertainment, Media"
LYFE Capital,Venture Fund,"SeedSeries A,Series B","http://www.lyfecapital.com/e
n/","BioTech, Life Science, Healthcare"
Lytical Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.lyticalventures.com,"Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, Cybersecurity"
LYZZ Capital,Venture Fund,Series D,http://www.lyzzcap.com,"BioTech, Healthcare, Pharmaceuticals"
M3 Ventures,Venture Fund,"SeedSeries A,Series B",https://beliade.com,"Consumer, E-Commerce, Healthcare, RetailTech, Food and Beverage, Health & Wellness"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
M12 - Microsoft's Venture Fund,Corporate VC,"SeedSeries A,Series BSeries C,Series D",https://m12.vc,"AgTech, FarmTech, CloudTech, Cybersecurity, Developer Tools, Enterprise, Software, Entertainment, Media, FinTech, Network Security, CRM, CMS, SaaS, Sales, Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Logistics, InsurTech, Information Technology, Computer, Marketing, MarTech, PropTech, Advertising, AdTech, RetailTech, E-Sports, Gaming, Virtual Reality, AR/VR, E-Commerce, Robotics, Mobile, Customer Service, EdTech, HR Tech, B2B, Consumer, Food and Beverage, Marketplace, Telecommunications, TMT"
M13,Venture Fund,"Pre-SeedSeed,Series A",www.m13.co,"Consumer, IoT, Internet of Things, Healthcare, Pharmaceuticals, RetailTech, E-Commerce, Food and Beverage, Delivery, SaaS, Cryptocurrency, Blockchain, Marketplace, RestaurantTech, Logistics, Supply Chain, Tech, FinTech, Parenting, EdTech, PropTech, AgTech, FarmTech, ClimateTech, CleanTech, HR Tech, Developer Tools, B2B, Beauty, Marketing, MarTech, Information Technology, Software, Life Science, Manufacturing, Health & Wellness, BioTech, Fashion, Enterprise, Big Data, Analytics"
M25,Venture Fund,"SeedSeries A,Series B",https://m25vc.com/,"Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Healthcare, Software, CloudTech, Cybersecurity, Information Technology, Computer, PropTech, SaaS, E-Commerce"
MaC Venture Capital,Venture Fund,"Pre-SeedSeed,Series A",www.macventurecapital.com,"Advertising, AdTech, Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, Healthcare, E-Commerce, EdTech, FinTech, Infrastructure, IoT, Internet of Things, Mobile, SaaS, Telecommunications, TMT"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Maccabee Ventures,Venture Fund,Pre-SeedSeed,www.maccabee.vc,"Cybersecurity, Healthcare, FinTech, PropTech, Enterprise, SaaS, B2B"
Madrona Venture Group,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.Madrona.com,"Marketing, MarTech, Advertising, AdTech, Software, Big Data, Analytics, Information Technology, Energy, Logistics, Mobile, Oil & Gas, Service Industry, Sales, FinTech, Developer Tools, Artificial Intelligence, Machine Learning, AI, ML, Computer, SaaS, Enterprise, Industrials, IoT, Internet of Things, CloudTech, Supply Chain, Tech, Transportation, RetailTech, Creator Economy, Consumer, PropTech, Cybersecurity, Healthcare, Health & Wellness, Infrastructure, Collaboration, CMS, Productivity, Life Science, BioTech, HR Tech, E-Commerce, Manufacturing"
Magenta Venture Partners,Venture Fund,"SeedSeries A,Series B",https://magenta.vc/,"CRM, Enterprise, HR Tech, SaaS"
MAGIC Fund,Accelerator,"Pre-SeedSeed,Series A",www.magic.fund,"Delivery, Food and Beverage, Robotics, Healthcare, Information Technology, Software, E-Commerce, PaaS, RetailTech, Cryptocurrency, Blockchain, FinTech, Marketing, MarTech, Mobile"
Magma Partners,Venture Fund,"SeedSeries A,Series B","https://www.magmapartners.
com","Advertising, AdTech, Creator Economy, Entertainment, Media, Enterprise, Productivity, SaaS, Software"
Magma Venture Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.magmavc.com,"Artificial Intelligence, Machine Learning, AI, ML, CloudTech, SaaS, Software"
Magnetic Ventures,Venture Fund,"SeedSeries A,Series B","https://www.magneticvc.com
/","BioTech, Healthcare"
Maiden Lane Ventures,Venture Fund,Seed,www.maidenlane.com,"Software, Mobile, SaaS, Consumer, FinTech"
Main Sequence Ventures,Venture Fund,"SeedSeries A,Series B",https://www.mseq.vc,"Artificial Intelligence, Machine Learning, AI, ML"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Makers Fund,Venture Fund,"SeedSeries A,Series B",http://www.makersfund.com,"E-Sports, Gaming, Software, Entertainment, Media, Virtual Reality, AR/VR, CloudTech, Productivity, Tools"
Mana Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.manaventures.vc,"FemTech, Healthcare"
ManchesterStory Group,Venture Fund,"SeedSeries A,Series B","https://manchesterstory.com
/","InsurTech, Marketing, MarTech, Software, FinTech, Computer, Artificial Intelligence, Machine Learning, AI, ML, HR Tech, Marketplace, Healthcare, Service Industry, Big Data, Analytics"
Manhattan Venture Partners,Venture Fund,"Series BSeries C,Series D",www.mvp.vc,"Software, Mobile, SaaS, Consumer, FinTech"
Maniv Mobility,Venture Fund,"SeedSeries A,Series B",http://maniv.com/,"Transportation, Logistics, Robotics, Software"
Manta Ray Ventures,Venture Fund,"SeedSeries A,Series B",https://mantaray.vc/,"Artificial Intelligence, Machine Learning, AI, ML, Life Science"
Mantis VC,Venture Fund,"Pre-SeedSeed,Series A",www.mantisvc.com,"Advertising, AdTech, Artificial Intelligence, Machine Learning, AI, ML, Virtual Reality, AR/VR, FinTech, Big Data, Analytics, ClimateTech, CleanTech, CloudTech, Cryptocurrency, Blockchain, Healthcare, E-Commerce, E-Sports, Gaming, Infrastructure, InsurTech, IoT, Internet of Things, Mobile, Micro-Mobility, PropTech, RestaurantTech, Ridesharing, SaaS, Supply Chain, Tech, Telecommunications, TMT"
MANTIS Venture Capital,Venture Fund,"SeedSeries A,Series B",https://www.mantisvc.com/,"CloudTech, Developer Tools, Enterprise, Software, Artificial Intelligence, Machine Learning, AI, ML, Cryptocurrency, Blockchain, Entertainment, Media, E-Sports, Gaming, Sports, FinTech, Big Data, Analytics, Information Technology, B2B, SaaS, Advertising, AdTech, E-Commerce, Marketing, MarTech, Health & Wellness, Healthcare, Creator Economy, Energy, ClimateTech, CleanTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Marathon Venture Capital,Venture Fund,"SeedSeries A,Series B",https://marathon.vc,"Information Technology, Enterprise, IoT, Internet of Things, Software"
March Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.marchcp.com,"Artificial Intelligence, Machine Learning, AI, ML, IoT, Internet of Things, Mobile, Telecommunications, TMT"
Marker,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.marker-llc.com,"Advertising, AdTech, Marketing, MarTech, Big Data, Analytics, Mobile, Software, SaaS"
Marlinspike Capital,Venture Fund,"SeedSeries A,Series B","https://marlinspikecapital.co
m/","SpaceTech, Robotics, GovTech, Telecommunications, TMT"
Maschmeyer Group Ventures,Venture Fund,Pre-Seed,www.mgv.vc,"InsurTech, PropTech, E-Commerce, Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, FinTech, Healthcare"
Mass General Brigham Ventures,Venture Fund,"SeedSeries A,Series B","https://www.massgeneralbri
ghamventures.com/","Healthcare, Life Science"
Masthead Venture Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.mvpartners.com,"Software, Mobile, SaaS, Consumer, FinTech"
Mastry,Venture Fund,"SeedSeries A,Series BSeries C",http://www.mastryinc.com/,"Telecommunications, TMT"
Matchstick Ventures,Venture Fund,"SeedSeries A,Series B","http://matchstickventures.co
m","Developer Tools, Software, ClimateTech, CleanTech, Energy, SaaS, Consumer, Manufacturing, Quality Assurance, RetailTech, Supply Chain, Tech, Marketing, MarTech, E-Commerce, Entertainment, Media, Creator Economy, Telecommunications, TMT, Enterprise, Meeting Software, Logistics"
Material Impact Fund,Venture Fund,"Pre-SeedSeed,Series A",www.materialimpact.com,"Manufacturing, Nanotechnology, Transportation, Consumer, Hardware"
MATH Venture Partners,Venture Fund,"SeedSeries A,Series B","http://www.mathventurepart
ners.com/","SaaS, Software, EdTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Matrix Partners China,Venture Fund,"SeedSeries A,Series BSeries C,Series D","https://www.matrixpartners.c
om.cn/","BioTech, Healthcare, Artificial Intelligence, Machine Learning, AI, ML, Robotics, IoT, Internet of Things"
Matrix Partners India,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.matrixpartners.in
/","Big Data, Analytics, Marketing, MarTech, Information Technology, SaaS, Collaboration, Customer Service, Productivity, Infrastructure, Creator Economy"
MatterScale Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.matterscale.com,"Future of Work, HR Tech, Entertainment, Media"
Maven Ventures,Venture Fund,"SeedSeries A,Series B","http://www.mavenventures.c
om","EdTech, FinTech, Events, Entertainment, Media, Software, Health & Wellness, Healthcare, Artificial Intelligence, Machine Learning, AI, ML, Computer, Retail, Tech, Apps"
Maverick Capital,Venture Fund,"SeedSeries A,Series B","https://www.maverickcap.co
m/","Information Technology, SaaS, Developer Tools"
Maveron,Venture Fund,"Pre-SeedSeed,Series A",www.maveron.com,"ClimateTech, CleanTech, Consumer, Energy, Logistics, Mobile, Oil & Gas, Service Industry, EdTech, SaaS, Healthcare, Pharmaceuticals, Health & Wellness, E-Commerce, Fashion, Manufacturing, RetailTech, Delivery, Food and Beverage, Parenting, Information Technology, Ridesharing, Transportation, Artificial Intelligence, Machine Learning, AI, ML, Entertainment, Media, Software, IoT, Internet of Things, Big Data, Analytics, BioTech, Market Research, Collaboration, FinTech, PropTech, Virtual Reality, AR/VR, E-Sports, Gaming, HR Tech, Elder Care, Marketplace, Hospitality, Travel, Events, Marketing, MarTech, Community, Beauty, InsurTech, Cryptocurrency, Blockchain"
Max Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.maxventures.vc,"FinTech, RetailTech, SaaS, Healthcare, E-Commerce, Consumer, Marketplace, PaaS, Information Technology, Health & Wellness"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Mayfield Fund,Venture Fund,"Pre-SeedSeed,Series A",www.mayfield.com,"E-Sports, Gaming, Healthcare, Virtual Reality, AR/VR, Health & Wellness, BioTech, CloudTech, Cybersecurity, Developer Tools, Information Technology, Software, Consumer, E-Commerce, Manufacturing, RetailTech, ClimateTech, CleanTech, Computer, Big Data, Analytics, Hardware, IoT, Internet of Things, Enterprise, HR Tech, SaaS, B2B, Marketing, MarTech, Telecommunications, TMT, Community, Network Security, Robotics, Collaboration, Productivity, Artificial Intelligence, Machine Learning, AI, ML, Transportation, Logistics, Nanotechnology, Sales, FinTech, Advertising, AdTech, Food and Beverage"
Mazarine Ventures,Venture Fund,"SeedSeries A,Series B","https://mazarineventures.co
m","IoT, Internet of Things, ClimateTech, CleanTech"
MB Venture Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.mbventures.com,"Advanced Materials, BioTech, Healthcare"
MBX Capital,Venture Fund,"Pre-SeedSeed,Series A",www.mbxcapital.com,"Healthcare, Life Science, Manufacturing"
McKesson Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.ventures.mckesson.com,"Healthcare, Medical, Device"
MDI Ventures,Corporate VC,"SeedSeries A,Series BSeries C,Series D",http://www.mdi.vc,"FinTech, IoT, Internet of Things, Logistics, SaaS, Supply Chain, Tech, CloudTech, Information Technology, Software, Telecommunications, TMT, SpaceTech, BioTech, Food, Beverage"
Measure 8 Venture Partners,Venture Fund,"SeedSeries A,Series B",http://www.m8vp.com/,"Cannabis, Healthcare"
Mechanism Capital,Venture Fund,"SeedSeries A,Series B","https://www.mechanism.capi
tal/","Cryptocurrency, Blockchain, FinTech, Software, Information, Technology, Apps"
MedMountain Ventures,Venture Fund,Seed,https://mmv.vc/,"Healthcare, Life Science"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Mendoza Ventures,Venture Fund,"SeedSeries A,Series B","http://mendoza-
ventures.com/","Artificial Intelligence, Machine Learning, AI, ML, Cybersecurity, FinTech, Telecommunications, TMT"
